"Table 7: Comparative Vacancy Rates by Community, 2021-2022",,,,
Community Type,Community,2021,2022,
City,Lacombe,0.0,0.0,
Hamlet,Grande Cache,56.2,15.4,
Hamlet,Lac La Biche,24.4,0.0,
Specialized Municipality,Crowsnest Pass,13.5,16.7,
Specialized Municipality,Jasper,0.0,0.0,
Town,Athabasca,15.5,9.5,
Town,Banff,3.2,0.3,
Town,Barrhead,3.0,1.4,
Town,Bassano,0.0,0.0,
Town,Beaverlodge,19.7,17.1,
Town,Black Diamond,2.2,0.0,
Town,Blackfalds,0.0,2.6,
Town,Bonnyville,15.1,18.8,
Town,Bow Island,0.0,0.0,
Town,Bowden,12.5,0.0,
Town,Bruderheim,38.8,45.0,
Town,Cardston,40.0,0.0,
Town,Carstairs,8.3,0.0,
Town,Claresholm,0.0,1.4,
Town,Coaldale,0.0,8.0,
Town,Didsbury,1.4,0.0,
Town,Drayton Valley,21.1,13.8,
Town,Drumheller,17.4,5.7,
Town,Eckville,4.8,6.7,
Town,Edson,1.6,4.3,
Town,Fairview,5.8,1.7,
Town,Falher,4.2,11.3,
Town,Fort Macleod,7.7,1.8,
Town,Fox Creek,51.9,57.7,
Town,Grimshaw,8.3,8.3,
Town,Hanna,16.1,8.3,
Town,High Level,2.2,4.9,
Town,High Prairie,5.6,10.8,
Town,Hinton,12.1,10.5,
Town,Innisfail,0.6,3.3,
Town,Mayerthorpe,0.0,0.0,
Town,Mclennan,0.0,4.2,
Town,Millet,15.8,0.0,
Town,Nanton,7.1,2.0,
Town,Olds,4.9,2.6,
Town,Peace River,15.0,12.8,
Town,Penhold,14.3,0.0,
Town,Pincher Creek,6.3,3.3,
Town,Ponoka,10.2,4.1,
Town,Provost,9.8,19.2,
Town,Raymond,20.0,0.0,
Town,Rimbey,2.4,2.8,
Town,Rocky Mountain House,24.7,16.1,
Town,Sexsmith,0.0,0.0,
Town,Slave Lake,0.0,6.8,
Town,Smoky Lake,21.2,6.1,
Town,Spirit River,10.5,10.5,
Town,St. Paul,17.2,17.2,
Town,Stettler,15.1,14.0,
Town,Sundre,1.4,2.6,
Town,Swan Hills,52.1,31.8,
Town,Taber,1.8,4.4,
Town,Tofield,0.0,0.0,
Town,Two Hills,2.8,3.1,
Town,Valleyview,20.0,11.1,
Town,Vegreville,8.0,17.5,
Town,Vermilion,8.7,16.1,
Town,Vulcan,0.0,6.9,
Town,Wainwright,12.6,12.9,
Town,Westlock,16.3,23.6,
